Size,1N(RR),4N(RR),16N(RR)
1024,0.126077,0.089628,0.320218
2048,0.869418,0.402798,0.305423
4096,6.52313,2.32942,1.24021
8192,50.7024,15.4679,6.31437
16384,395.774,111.063,37.0692
